Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,0.044365,0.061448,0.03128,0.030629,0.013747,0.354317,0.281307,0.171848,0.168412,0.168371
search,0.028334,0.018245,0.012253,0.009679,0.009188,0.013676,0.015219,0.014357,0.019127,0.024767
